year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,stock_name,price
2014,Budweiser,False,False,True,False,False,True,False,BUD,2.338150515390339
2015,Doritos,True,False,False,False,False,False,True,PEP,-0.16640773527642239
2015,Budweiser,True,True,False,False,True,True,False,BUD,7.271720052364742
2015,Budweiser,False,True,True,False,False,True,False,BUD,7.271720052364742
2015,Doritos,True,True,True,False,False,True,False,PEP,-0.16640773527642239
2015,Kia,True,True,False,True,True,True,True,KIMTF,0.0
2015,Doritos,True,False,False,False,True,False,True,PEP,-0.16640773527642239
2015,Pepsi,False,True,False,False,False,True,False,PEP,-0.16640773527642239
2015,Budweiser,False,True,True,False,True,True,False,BUD,7.271720052364742
2015,Coca-Cola,False,False,False,False,False,False,False,KO,-0.8269415625466792
2015,Toyota,False,True,True,False,False,False,False,TM,12.112901708022036
2016,Hynudai,True,False,False,False,True,True,False,HYMTF,3.239999771118164
2016,Pepsi,False,False,False,True,False,False,False,PEP,3.37800065403745
2016,Hynudai,True,True,False,True,False,True,True,HYMTF,3.239999771118164
2016,Coca-Cola,True,True,False,True,True,False,False,KO,2.542342765801557
2016,Hynudai,True,False,False,True,False,False,False,HYMTF,3.239999771118164
2016,Budweiser,False,True,False,True,False,False,False,BUD,-0.4523394089800803
2016,Kia,True,False,False,True,False,False,False,KIMTF,0.0
2016,Bud Light,True,True,True,True,False,True,False,BUD,-0.4523394089800803
2016,Doritos,True,True,False,False,False,False,False,PEP,3.37800065403745
2016,Toyota,True,False,False,False,True,False,False,TM,-7.743775610873229
2016,Budweiser,False,True,True,False,False,True,False,BUD,-0.4523394089800803
2016,Doritos,True,True,False,False,False,True,False,PEP,3.37800065403745
2017,Kia,True,False,False,True,True,True,False,KIMTF,-9.700000762939453
2017,Budweiser,False,False,True,False,True,False,False,BUD,3.402279126761826
2017,Hynudai,False,False,True,False,False,False,False,HYMTF,2.615001678466797
2018,Toyota,False,False,False,False,False,False,False,TM,-5.070003509521484
2018,Hynudai,False,True,False,False,False,False,False,HYMTF,-5.635000228881836
2018,Doritos,True,True,False,True,False,False,False,PEP,-8.630804184826047
2018,Coca-Cola,False,True,False,True,False,False,False,KO,-2.973716837080424
2018,Kia,False,False,False,True,False,False,False,KIMTF,0.0
2018,Pepsi,False,True,True,True,False,False,False,PEP,-8.630804184826047
2018,Coca-Cola,False,True,True,False,False,False,False,KO,-2.973716837080424
2018,Budweiser,False,False,True,False,False,False,False,BUD,-2.078158466856266
2018,Bud Light,True,True,False,False,True,True,False,BUD,-2.078158466856266
2018,Bud Light,True,True,False,False,True,True,False,BUD,-2.078158466856266
2018,Coca-Cola,False,True,False,False,False,False,True,KO,-2.973716837080424
2018,Toyota,True,True,True,False,False,False,False,TM,-5.070003509521484
2019,Hynudai,True,False,True,True,False,False,False,HYMTF,-3.744999885559082
2019,Doritos,False,True,False,True,False,False,False,PEP,9.2429414897031
2019,Pepsi,True,True,False,True,False,False,True,PEP,9.2429414897031
2019,Pepsi,True,True,False,True,False,False,False,PEP,9.2429414897031
2019,Bud Light,True,True,False,False,False,False,False,BUD,11.009528419894735
2019,Toyota,False,True,False,False,False,False,False,TM,-0.9200019836425781
2019,Toyota,False,True,False,False,False,False,False,TM,-0.9200019836425781
2019,Budweiser,False,False,False,False,False,True,False,BUD,11.009528419894735
2019,Coca-Cola,False,True,True,False,False,True,False,KO,-1.6684110251176492
2019,Kia,False,False,True,False,False,True,False,KIMTF,0.0
2019,Bud Light,True,True,False,False,True,False,False,BUD,11.009528419894735
2019,Kia,False,False,True,False,False,False,False,KIMTF,0.0
2019,Bud Light,True,True,False,False,False,False,False,BUD,11.009528419894735
2019,Bud Light,True,True,False,False,True,True,False,BUD,11.009528419894735
2020,Bud Light,True,True,False,True,True,False,False,BUD,-33.35959620504618
2020,Toyota,True,True,False,True,True,True,False,TM,-20.134990692138672
2020,Coca-Cola,True,False,False,True,False,True,False,KO,-8.582430334732564
2020,Kia,False,False,False,True,False,False,False,KIMTF,0.0
2020,Hynudai,True,True,False,True,False,True,False,HYMTF,-9.25
2020,Budweiser,False,True,True,True,True,False,False,BUD,-33.35959620504618
2020,Doritos,True,True,False,True,True,True,False,PEP,-16.6142977610604
2020,Pepsi,False,True,False,True,False,False,False,PEP,-16.6142977610604
