Date,Volume,avg_price
2009-03-01,1100,6.325000047683716
2009-04-01,1000,7.224999904632568
2009-05-01,3000,8.224999904632568
2009-06-01,4500,9.949999809265137
2009-07-01,3100,12.625
2009-08-01,7400,14.625
2009-09-01,7100,12.0
2009-10-01,15100,15.84499979019165
2009-11-01,2600,15.71999979019165
2009-12-01,2500,17.375
2010-01-01,8400,16.75
2010-02-01,5000,17.074999809265137
2010-03-01,15600,18.074999809265137
2010-04-01,40000,20.125
2010-05-01,24100,20.725000381469727
2010-06-01,10300,20.225000381469727
2010-07-01,13300,19.800000190734863
2010-08-01,13600,20.949999809265137
2010-09-01,19300,22.225000381469727
2010-10-01,20200,24.824999809265137
2010-11-01,27600,27.880000114440918
2010-12-01,18100,27.585000038146973
2011-01-01,47400,28.454999923706055
2011-02-01,11600,27.774999618530273
2011-03-01,57200,28.335000038146973
2011-04-01,17900,33.75
2011-05-01,41200,36.0
2011-06-01,19900,34.0
2011-07-01,10400,35.39999961853027
2011-08-01,33100,31.0
2011-09-01,28300,27.5
2011-10-01,33100,28.755000114440918
2011-11-01,8000,30.0
2011-12-01,24200,27.75
2012-01-01,8000,28.125
2012-02-01,22300,28.875
2012-03-01,18500,28.875
2012-04-01,29700,31.300000190734863
2012-05-01,21700,30.524999618530273
2012-06-01,12200,29.0
2012-07-01,13700,28.5
2012-08-01,17200,29.649999618530273
2012-09-01,3800,30.0
2012-10-01,3800,30.75
2012-11-01,44500,31.024999618530273
2012-12-01,7500,32.249999046325684
2013-01-01,22300,31.975000381469727
2013-02-01,87200,31.850000381469727
2013-03-01,26900,33.25
2013-04-01,31400,32.94999885559082
2013-05-01,17800,38.625
2013-06-01,14600,40.25
2013-07-01,57800,41.52499961853027
2013-08-01,13600,46.125
2013-09-01,12900,49.75
2013-10-01,23300,52.75
2013-11-01,7100,57.16499900817871
2013-12-01,11900,57.02499961853027
2014-01-01,22200,55.1299991607666
2014-02-01,25300,54.14999961853027
2014-03-01,6600,54.724998474121094
2014-04-01,12200,64.25
2014-05-01,9500,66.5
2014-06-01,7600,72.5
2014-07-01,49500,75.6500015258789
2014-08-01,4400,75.79999923706055
2014-09-01,9600,64.07500076293945
2014-10-01,10700,53.35000038146973
2014-11-01,8300,57.54999923706055
2014-12-01,17600,55.64999961853027
2015-01-01,14100,55.875
2015-02-01,30700,50.39999961853027
2015-03-01,56600,49.81999969482422
2015-04-01,11200,53.52499961853027
2015-05-01,16500,53.17500114440918
2015-06-01,12600,48.32500076293945
2015-07-01,6000,41.44999885559082
2015-08-01,45500,38.125
2015-09-01,20700,43.44000053405762
2015-10-01,21600,45.89500045776367
2015-11-01,28100,49.39999961853027
2015-12-01,10700,45.75
2016-01-01,42500,40.5
2016-02-01,3200,40.26500129699707
2016-03-01,10300,43.739999771118164
2016-04-01,8400,43.0
2016-05-01,22100,39.79999923706055
2016-06-01,2700,40.51999855041504
2016-07-01,37800,40.92499923706055
2016-08-01,11900,42.40999984741211
2016-09-01,5600,44.07499885559082
2016-10-01,10300,43.32500076293945
2016-11-01,30900,38.60000038146973
2016-12-01,12400,39.5
2017-01-01,29600,41.5
2017-02-01,10500,41.290000915527344
2017-03-01,11400,44.1150016784668
2017-04-01,2900,41.32500076293945
2017-05-01,31600,43.14999961853027
2017-06-01,8500,48.525001525878906
2017-07-01,5800,46.78999900817871
2017-08-01,35000,45.375
2017-09-01,37000,43.8799991607666
2017-10-01,3500,44.5
2017-11-01,7500,44.625
2017-12-01,35800,45.75
2018-01-01,25600,44.5
2018-02-01,25200,43.90999984741211
2018-03-01,14900,38.864999771118164
2018-04-01,20500,41.30499839782715
2018-05-01,313000,42.7549991607666
2018-06-01,4400,42.42499923706055
2018-07-01,1300,35.974998474121094
2018-08-01,4800,35.55500030517578
2018-09-01,7700,39.85000038146973
2018-10-01,1000,33.45000076293945
2018-11-01,24400,28.125
2018-12-01,11000,28.024999618530273
2019-01-01,1600,35.125
2019-02-01,2700,30.524999618530273
2019-03-01,11600,31.380000114440918
2019-04-01,5300,31.300000190734863
2019-05-01,1500,32.25
2019-06-01,2200,31.674999237060547
2019-07-01,18600,37.25
2019-08-01,10100,30.0
2019-09-01,3800,31.5
2019-10-01,6900,31.200000762939453
2019-11-01,3500,31.0
2019-12-01,2300,31.5
2020-01-01,12700,30.5
2020-02-01,13800,30.114999771118164
2020-03-01,27100,21.25
2020-04-01,12100,24.795000076293945
2020-05-01,52300,26.050000190734863
2020-06-01,29800,25.300000190734863
2020-07-01,16500,25.545000076293945
2020-08-01,47700,34.93000030517578
2020-09-01,21900,35.65999984741211
2020-10-01,16900,35.64500045776367
2020-11-01,35700,36.53000068664551
2020-12-01,62400,41.09000015258789
