Year,TM,BUD,HYMTF,KO,KIMTF,PEP
2000,-1.8573035647329448,,,-0.8095749214676786,,5.1040487431939
2001,0.008824851052203542,,,-3.2883937146595024,,0.03992458524314202
2002,-2.389055646792329,,,1.5279753682966248,,-3.9782433102827532
2003,2.1723167168923396,,,0.6186014619969811,,2.285294430366932
2004,6.567097024341351,,,-1.6174350306166971,,2.5419746532693672
2005,-0.2595073347674699,,,0.9862010947524134,,1.471663281227606
2006,3.927500999189192,,,1.3841222307374839,,4.405748866236884
2007,-12.16926757617071,,,2.2670858153167686,,2.9597682988528717
2008,-9.100014781132828,,,-2.1665172292334276,,-2.465768408897979
2009,18.114736524958545,,,2.023293918077341,,5.825343567426572
2010,-10.58072902590822,2.1887952338866654,4.199999809265137,0.540378225095246,,3.5527073154975852
2011,-4.648872860767526,-1.476466509421627,2.5450000762939453,1.5526657208395847,,-1.5101701486355594
2012,7.973617749382441,17.780721830048577,1.5249996185302734,3.8214735649258493,,6.007554525522515
2013,30.384185946367978,7.811057142335613,14.149999618530273,2.0281982171075015,-8.699527740478516,9.545371363994207
2014,1.2250933063455705,9.187329946174657,20.670000076293945,1.2311390879950608,0.0,7.977420096531404
2015,-3.6252264710983297,-0.21435059249549226,-17.75,-1.9636676613035533,0.0,-5.137225873953398
2016,1.9386209891569166,6.810527263624863,1.9099998474121094,2.0023997650966194,-13.75,10.998440786930175
2017,-5.340000152587891,13.181527565224542,3.875,4.440985136280041,-10.225000381469727,13.592201457473706
2018,-6.780006408691406,-13.476358460267463,-8.944999694824219,-0.4826425744112939,0.0,-2.600744448176556
2019,8.054996490478516,26.79398944106009,-5.125,6.2239533284614055,0.0,21.253219321406604
2020,-12.924991607666016,-21.875607544835972,4.430000305175781,-7.265366049762193,0.0,0.5085558957775049
