Date,Volume,avg_price,stocks_income
2000-01-01,224495200.0,16.99926631728246,3816253691.751589
2000-02-01,189933800.0,14.746033520195969,2800770181.418197
2000-03-01,303736800.0,13.18008346341739,4003276374.911315
2000-04-01,240129800.0,13.57007646560669,3258579747.670841
2000-05-01,229033600.0,14.102744584340401,3230002362.0319858
2000-06-01,219206600.0,15.639641655931275,3428312672.6150646
2000-07-01,160374400.0,16.57514907339176,2658229587.5557594
2000-08-01,170688800.0,16.18969139581478,2763398996.7219496
2000-09-01,197233600.0,14.893112593497278,2937422212.020805
2000-10-01,180461800.0,16.127036575451648,2910314049.0718403
2000-11-01,188714400.0,16.63678184954706,3139600304.668164
2000-12-01,193205000.0,16.480999971047424,3184211599.4062176
2001-01-01,174487800.0,16.551504794893592,2888035658.3504343
2001-02-01,178171600.0,15.849969312021386,2824014392.27375
2001-03-01,260465800.0,13.77141479551563,3586982571.845815
2001-04-01,186970000.0,12.853060834392712,2403136784.2064056
2001-05-01,166729400.0,13.296028760621036,2216838897.641089
2001-06-01,187487200.0,12.806356183021732,2401027862.9574323
2001-07-01,146439600.0,12.907916622008944,1890230146.960341
2001-08-01,203277800.0,13.26311108023409,2696096041.5456095
2001-09-01,215306200.0,13.632522610227195,2935166639.6220984
2001-10-01,233443200.0,13.42926546165365,3134970703.017905
2001-11-01,141977600.0,13.919037218457566,1976191498.587281
2001-12-01,176861600.0,13.587944909786255,2403185677.4566526
2002-01-01,249580000.0,13.141022037328305,3279736280.0763984
2002-02-01,183248000.0,13.220318161689066,2422596862.493198
2002-03-01,210607600.0,14.277075808919115,3006860671.1345134
2002-04-01,194723800.0,15.568700700994487,3031596561.5603104
2002-05-01,179044800.0,16.172401074799964,2895584315.9573445
2002-06-01,200331200.0,15.982744601309346,3201842405.273823
2002-07-01,355021000.0,14.69078265802208,5215536350.033657
2002-08-01,193239800.0,14.66899740562493,2834634124.8634806
2002-09-01,181020800.0,14.240325653935049,2577795142.1358457
2002-10-01,317116400.0,14.24828266862427,4518364106.056521
2002-11-01,225505600.0,13.329227605035086,3005815468.61
2002-12-01,227408200.0,13.160002344496066,2992692445.1576304
2003-01-01,249229000.0,12.478630234470312,3110036534.7068014
2003-02-01,205692200.0,11.776740072736306,2422383574.389291
2003-03-01,268825800.0,11.621423717859374,3124138528.09252
2003-04-01,238453600.0,12.064084296651568,2876724331.2400346
2003-05-01,240325000.0,12.585850949478854,3024694629.4335055
2003-06-01,198079000.0,13.807734554543808,2735022252.829483
2003-07-01,286536800.0,13.168312304290176,3773206069.0719333
2003-08-01,154832800.0,13.097231696467293,2027881055.812781
2003-09-01,225735200.0,12.99949071496393,2934442636.4405255
2003-10-01,217157200.0,13.304515457588607,2889171324.126661
2003-11-01,132970000.0,13.883425528983505,1846079092.5889366
2003-12-01,223663000.0,14.547430784947622,3253722011.65374
2004-01-01,188973000.0,14.898817266838758,2815474195.3663206
