Date,Volume,avg_price
2000-01-01,534000.0,65.82344645415473
2000-02-01,404700.0,64.15468555775905
2000-03-01,574200.0,68.41927605408888
2000-04-01,440000.0,76.41558923297856
2000-05-01,414800.0,72.32773298897592
2000-06-01,441600.0,66.59072586100505
2000-07-01,353800.0,65.63844702761493
2000-08-01,590600.0,63.96614288942179
2000-09-01,461200.0,60.853751115738206
2000-10-01,386200.0,59.478902203235506
2000-11-01,489900.0,56.98356218839946
2000-12-01,578600.0,50.17905457480828
2001-01-01,1116000.0,47.363386762011245
2001-02-01,425300.0,50.91648199806704
2001-03-01,585300.0,52.287055911490114
2001-04-01,602100.0,50.79995980996743
2001-05-01,869700.0,51.31150469274685
2001-06-01,452000.0,51.17708148488873
2001-07-01,424500.0,51.2256200119102
2001-08-01,438800.0,47.37221161306345
2001-09-01,500000.0,40.587684892290866
2001-10-01,659500.0,39.62655735788799
2001-11-01,1276600.0,38.86212873459935
2001-12-01,994100.0,37.067215990300724
2002-01-01,1524000.0,39.64528507328073
2002-02-01,1146200.0,38.783432299208094
2002-03-01,1180300.0,41.70624064067601
2002-04-01,873300.0,41.86012055950207
2002-05-01,1344700.0,41.54792273378498
2002-06-01,1664100.0,39.21212423072671
2002-07-01,1504800.0,37.613550262392636
2002-08-01,1108900.0,37.2562294264884
2002-09-01,1277200.0,38.331965658032246
2002-10-01,1551400.0,36.45080755206352
2002-11-01,954500.0,39.5144887538861
2002-12-01,946700.0,39.38226467708372
2003-01-01,1055300.0,38.785394787455616
2003-02-01,1222100.0,36.81722934833214
2003-03-01,1600200.0,35.268375141557854
2003-04-01,2234700.0,33.10415857751087
2003-05-01,2774300.0,35.086542751638746
2003-06-01,1828400.0,38.64113864591059
2003-07-01,2337600.0,41.82737742420902
2003-08-01,2339300.0,40.957711504347955
2003-09-01,4525100.0,47.09852559474622
2003-10-01,4049800.0,46.56277494420519
2003-11-01,3786500.0,46.57422133880368
2003-12-01,2714400.0,49.922767174460674
2004-01-01,2325500.0,52.72531794736079
2004-02-01,2316800.0,51.3584176797915
2004-03-01,2914500.0,55.03150710262082
2004-04-01,2493800.0,56.524891860114835
2004-05-01,4058100.0,53.86100403774301
2004-06-01,7097100.0,59.07361666392721
2004-07-01,5424200.0,61.32294779568765
2004-08-01,4714400.0,59.292414971702144
2004-09-01,5012400.0,58.88169889317875
2004-10-01,4353700.0,59.15964956850519
2004-11-01,5292100.0,59.468582028348756
2004-12-01,5332400.0,59.96672049795484
2005-01-01,4528300.0,61.52294138785379
2005-02-01,4698600.0,60.711998643489885
2005-03-01,5608900.0,59.248454610219454
2005-04-01,5448200.0,57.656706047242736
2005-05-01,6379500.0,56.840559070994864
2005-06-01,6284800.0,55.98163567536022
