Year,Date
2000,2000-01-30
2001,2001-01-28
2002,2002-02-03
2003,2003-01-26
2004,2004-02-01
2005,2005-02-06
2006,2006-02-05
2007,2007-02-04
2008,2008-02-03
2009,2009-02-01
2010,2010-02-07
2011,2011-02-06
2012,2012-02-05
2013,2013-02-03
2014,2014-02-02
2015,2015-02-01
2016,2016-02-07
2017,2017-02-05
2018,2018-02-04
2019,2019-02-03
2020,2020-02-02
