Date,TM,BUD,HYMTF,KO,KIMTF,PEP
2000-01-01,65.82344645415473,,,16.99926631728246,,21.39484384557703
2000-02-01,64.15468555775905,,,14.746033520195969,,20.035554514784756
2000-03-01,68.41927605408888,,,13.18008346341739,,19.588661269047783
2000-04-01,76.41558923297856,,,13.57007646560669,,21.826216262284493
2000-05-01,72.32773298897592,,,14.102744584340401,,23.11670426399477
2000-06-01,66.59072586100505,,,15.639641655931275,,25.094547718386103
2000-07-01,65.63844702761493,,,16.57514907339176,,25.8045181896319
2000-08-01,63.96614288942179,,,16.18969139581478,,26.49889258877093
2000-09-01,60.853751115738206,,,14.893112593497278,,26.555201255756877
2000-10-01,59.478902203235506,,,16.127036575451648,,28.205233570221935
2000-11-01,56.98356218839946,,,16.63678184954706,,27.941626178331614
2000-12-01,50.17905457480828,,,16.480999971047424,,27.54623664071851
2001-01-01,47.363386762011245,,,16.551504794893592,,27.72821235576731
2001-02-01,50.91648199806704,,,15.849969312021386,,27.66476247444504
2001-03-01,52.287055911490114,,,13.77141479551563,,26.39847810394712
2001-04-01,50.79995980996743,,,12.853060834392712,,26.027719298275088
2001-05-01,51.31150469274685,,,13.296028760621036,,27.34334627742897
2001-06-01,51.17708148488873,,,12.806356183021732,,26.94928117637167
2001-07-01,51.2256200119102,,,12.907916622008944,,27.962766429447115
2001-08-01,47.37221161306345,,,13.26311108023409,,27.768136941010454
2001-09-01,40.587684892290866,,,13.632522610227195,,29.060606741401628
2001-10-01,39.62655735788799,,,13.42926546165365,,29.549557275794996
2001-11-01,38.86212873459935,,,13.919037218457566,,29.955258408030446
2001-12-01,37.067215990300724,,,13.587944909786255,,29.360450223017594
2002-01-01,39.64528507328073,,,13.141022037328305,,29.846281305889498
2002-02-01,38.783432299208094,,,13.220318161689066,,30.22872872001846
2002-03-01,41.70624064067601,,,14.277075808919115,,30.85900976874349
2002-04-01,41.86012055950207,,,15.568700700994487,,31.721294110212227
2002-05-01,41.54792273378498,,,16.172401074799964,,31.68447774329327
2002-06-01,39.21212423072671,,,15.982744601309346,,30.49699824374638
2002-07-01,37.613550262392636,,,14.69078265802208,,25.8926572099736
2002-08-01,37.2562294264884,,,14.66899740562493,,25.868037995606745
2002-09-01,38.331965658032246,,,14.240325653935049,,23.203065968481756
2002-10-01,36.45080755206352,,,14.24828266862427,,24.946841667351467
2002-11-01,39.5144887538861,,,13.329227605035086,,26.599672908609136
2002-12-01,39.38226467708372,,,13.160002344496066,,26.037399907977637
2003-01-01,38.785394787455616,,,12.478630234470312,,25.62031217584645
2003-02-01,36.81722934833214,,,11.776740072736306,,24.724347958778573
2003-03-01,35.268375141557854,,,11.621423717859374,,24.10120134796216
2003-04-01,33.10415857751087,,,12.064084296651568,,25.423846727232224
2003-05-01,35.086542751638746,,,12.585850949478854,,27.07353560670889
2003-06-01,38.64113864591059,,,13.807734554543808,,27.577795826733176
2003-07-01,41.82737742420902,,,13.168312304290176,,28.658474422950615
2003-08-01,40.957711504347955,,,13.097231696467293,,27.905606606213382
2003-09-01,47.09852559474622,,,12.99949071496393,,28.308589475690447
2003-10-01,46.56277494420519,,,13.304515457588607,,29.805767533178468
2003-11-01,46.57422133880368,,,13.883425528983505,,29.761866937371405
2003-12-01,49.922767174460674,,,14.547430784947622,,29.777545496818355
2004-01-01,52.72531794736079,,,14.898817266838758,,29.35305965087506
2004-02-01,51.3584176797915,,,15.161988260398239,,31.29713870276855
2004-03-01,55.03150710262082,,,14.680514024525753,,32.8039617484129
2004-04-01,56.524891860114835,,,15.520851767374777,,34.41831230205472
2004-05-01,53.86100403774301,,,15.140650450661738,,33.970264431817775
2004-06-01,59.07361666392721,,,15.456231915747273,,34.28580613833229
2004-07-01,61.32294779568765,,,14.22369098422515,,32.86145423699883
2004-08-01,59.292414971702144,,,13.281382236222061,,31.895034304144428
2004-09-01,58.88169889317875,,,12.852514649692779,,31.232797052919807
2004-10-01,59.15964956850519,,,12.066499436063616,,31.294573712406795
2004-11-01,59.468582028348756,,,12.295864823712673,,32.11576979340656
2004-12-01,59.96672049795484,,,12.41320725177226,,32.78417528402138
2005-01-01,61.52294138785379,,,12.61803407774239,,33.81673108899044
2005-02-01,60.711998643489885,,,13.035315190582669,,34.712024227229925
2005-03-01,59.248454610219454,,,12.955840511177374,,33.92543752611018
2005-04-01,57.656706047242736,,,12.96061084165206,,34.74855504297446
2005-05-01,56.840559070994864,,,13.616024173752233,,36.14220664727921
2005-06-01,55.98163567536022,,,13.323703156490524,,35.57703605036292
2005-07-01,57.610077316020536,,,13.316229109715353,,34.798019870201884
2005-08-01,61.26343405308632,,,13.604235172494803,,35.28839437021804
2005-09-01,68.16201721498777,,,13.402938935074832,,35.675542651365646
2005-10-01,70.3491371676464,,,13.226501607765044,,37.52025598212697
2005-11-01,74.68277235618655,,,13.26857391281579,,38.19123493056576
2005-12-01,78.7381962138412,,,13.072087067827413,,38.58346456804734
2006-01-01,81.57112215259323,,,12.75995330423801,,37.75597802700299
2006-02-01,82.47234399915591,,,13.034445443955534,,37.905730194070046
2006-03-01,84.25908685889931,,,13.263448173393087,,38.511291023538945
2006-04-01,90.07551611483609,,,13.129609254236671,,37.65610320683102
2006-05-01,90.9055231119575,,,13.676282004102411,,38.73514982215882
2006-06-01,81.31696165281019,,,13.650999284750833,,39.15371106730012
2006-07-01,79.34470867742468,,,13.870357300982239,,40.765102126776995
2006-08-01,85.49862315178243,,,14.144075534975494,,42.16172689323987
2006-09-01,84.21409429093104,,,14.174311085885975,,42.73353176813565
2006-10-01,91.6457882084641,,,14.617647893877535,,42.00997416894952
2006-11-01,96.31513137048073,,,14.987817051273831,,41.23416797763599
2006-12-01,101.3271045286865,,,15.418713028471748,,41.4751547365602
2007-01-01,105.88889140922792,,,15.565511685577889,,42.39967720999416
2007-02-01,106.77332658718238,,,15.181571088725597,,42.419590964406396
2007-03-01,104.94068372803042,,,15.20738932454094,,41.86566861578348
2007-04-01,100.12960887916682,,,16.311932599394407,,43.414889480155594
2007-05-01,96.08521887850996,,,17.026790050587508,,45.19455774627263
2007-06-01,99.59943932640834,,,16.922812662056195,,44.39468745734629
2007-07-01,98.5512220791941,,,17.382820003801044,,44.64225737329752
2007-08-01,93.71962383305721,,,17.832597500894657,,45.35944550884703
2007-09-01,92.15730888992934,,,18.151531882826664,,46.89097328385881
