Date,Volume,avg_price,stocks_income
2009-03-01,1100,6.325000047683716,6957.500052452087
2009-04-01,1000,7.224999904632568,7224.999904632568
2009-05-01,3000,8.224999904632568,24674.999713897705
2009-06-01,4500,9.949999809265137,44774.999141693115
2009-07-01,3100,12.625,39137.5
2009-08-01,7400,14.625,108225.0
2009-09-01,7100,12.0,85200.0
2009-10-01,15100,15.84499979019165,239259.49683189392
2009-11-01,2600,15.71999979019165,40871.99945449829
2009-12-01,2500,17.375,43437.5
2010-01-01,8400,16.75,140700.0
2010-02-01,5000,17.074999809265137,85374.99904632568
2010-03-01,15600,18.074999809265137,281969.99702453613
2010-04-01,40000,20.125,805000.0
2010-05-01,24100,20.725000381469727,499472.5091934204
2010-06-01,10300,20.225000381469727,208317.50392913818
2010-07-01,13300,19.800000190734863,263340.0025367737
2010-08-01,13600,20.949999809265137,284919.99740600586
2010-09-01,19300,22.225000381469727,428942.5073623657
2010-10-01,20200,24.824999809265137,501464.99614715576
2010-11-01,27600,27.880000114440918,769488.0031585693
2010-12-01,18100,27.585000038146973,499288.5006904602
2011-01-01,47400,28.454999923706055,1348766.996383667
2011-02-01,11600,27.774999618530273,322189.9955749512
2011-03-01,57200,28.335000038146973,1620762.0021820068
2011-04-01,17900,33.75,604125.0
2011-05-01,41200,36.0,1483200.0
2011-06-01,19900,34.0,676600.0
2011-07-01,10400,35.39999961853027,368159.99603271484
2011-08-01,33100,31.0,1026100.0
2011-09-01,28300,27.5,778250.0
2011-10-01,33100,28.755000114440918,951790.5037879944
2011-11-01,8000,30.0,240000.0
2011-12-01,24200,27.75,671550.0
2012-01-01,8000,28.125,225000.0
2012-02-01,22300,28.875,643912.5
2012-03-01,18500,28.875,534187.5
2012-04-01,29700,31.300000190734863,929610.0056648254
2012-05-01,21700,30.524999618530273,662392.4917221069
2012-06-01,12200,29.0,353800.0
2012-07-01,13700,28.5,390450.0
2012-08-01,17200,29.649999618530273,509979.9934387207
2012-09-01,3800,30.0,114000.0
2012-10-01,3800,30.75,116850.0
2012-11-01,44500,31.024999618530273,1380612.4830245972
2012-12-01,7500,32.249999046325684,241874.99284744263
2013-01-01,22300,31.975000381469727,713042.5085067749
2013-02-01,87200,31.850000381469727,2777320.03326416
2013-03-01,26900,33.25,894425.0
2013-04-01,31400,32.94999885559082,1034629.9640655518
2013-05-01,17800,38.625,687525.0
2013-06-01,14600,40.25,587650.0
2013-07-01,57800,41.52499961853027,2400144.97795105
2013-08-01,13600,46.125,627300.0
2013-09-01,12900,49.75,641775.0
2013-10-01,23300,52.75,1229075.0
2013-11-01,7100,57.16499900817871,405871.49295806885
2013-12-01,11900,57.02499961853027,678597.4954605103
2014-01-01,22200,55.1299991607666,1223885.9813690186
2014-02-01,25300,54.14999961853027,1369994.990348816
2014-03-01,6600,54.724998474121094,361184.9899291992
2014-04-01,12200,64.25,783850.0
2014-05-01,9500,66.5,631750.0
2014-06-01,7600,72.5,551000.0
2014-07-01,49500,75.6500015258789,3744675.075531006
2014-08-01,4400,75.79999923706055,333519.9966430664
2014-09-01,9600,64.07500076293945,615120.0073242188
2014-10-01,10700,53.35000038146973,570845.0040817261
2014-11-01,8300,57.54999923706055,477664.99366760254
2014-12-01,17600,55.64999961853027,979439.9932861328
2015-01-01,14100,55.875,787837.5
2015-02-01,30700,50.39999961853027,1547279.9882888794
2015-03-01,56600,49.81999969482422,2819811.982727051
2015-04-01,11200,53.52499961853027,599479.9957275391
2015-05-01,16500,53.17500114440918,877387.5188827515
2015-06-01,12600,48.32500076293945,608895.0096130371
2015-07-01,6000,41.44999885559082,248699.99313354492
2015-08-01,45500,38.125,1734687.5
2015-09-01,20700,43.44000053405762,899208.0110549927
2015-10-01,21600,45.89500045776367,991332.0098876953
2015-11-01,28100,49.39999961853027,1388139.9892807007
2015-12-01,10700,45.75,489525.0
2016-01-01,42500,40.5,1721250.0
2016-02-01,3200,40.26500129699707,128848.00415039062
2016-03-01,10300,43.739999771118164,450521.9976425171
2016-04-01,8400,43.0,361200.0
2016-05-01,22100,39.79999923706055,879579.9831390381
2016-06-01,2700,40.51999855041504,109403.9960861206
2016-07-01,37800,40.92499923706055,1546964.9711608887
2016-08-01,11900,42.40999984741211,504678.9981842041
2016-09-01,5600,44.07499885559082,246819.9935913086
2016-10-01,10300,43.32500076293945,446247.50785827637
2016-11-01,30900,38.60000038146973,1192740.0117874146
2016-12-01,12400,39.5,489800.0
2017-01-01,29600,41.5,1228400.0
2017-02-01,10500,41.290000915527344,433545.0096130371
2017-03-01,11400,44.1150016784668,502911.0191345215
2017-04-01,2900,41.32500076293945,119842.50221252441
2017-05-01,31600,43.14999961853027,1363539.9879455566
2017-06-01,8500,48.525001525878906,412462.5129699707
2017-07-01,5800,46.78999900817871,271381.9942474365
2017-08-01,35000,45.375,1588125.0
2017-09-01,37000,43.8799991607666,1623559.9689483643
2017-10-01,3500,44.5,155750.0
2017-11-01,7500,44.625,334687.5
2017-12-01,35800,45.75,1637850.0
2018-01-01,25600,44.5,1139200.0
2018-02-01,25200,43.90999984741211,1106531.9961547852
2018-03-01,14900,38.864999771118164,579088.4965896606
2018-04-01,20500,41.30499839782715,846752.4671554565
2018-05-01,313000,42.7549991607666,13382314.737319946
2018-06-01,4400,42.42499923706055,186669.9966430664
2018-07-01,1300,35.974998474121094,46767.49801635742
2018-08-01,4800,35.55500030517578,170664.00146484375
2018-09-01,7700,39.85000038146973,306845.0029373169
2018-10-01,1000,33.45000076293945,33450.00076293945
2018-11-01,24400,28.125,686250.0
